id,frequency,recency,T,monetary_value
1,2,30.43,38.86,22.35
2,1,1.71,38.86,11.77
3,0,0.0,38.86,0.0
4,0,0.0,38.86,0.0
5,0,0.0,38.86,0.0
6,7,29.43,38.86,73.74
7,1,5.0,38.86,11.77
8,0,0.0,38.86,0.0
9,2,35.71,38.86,25.55
10,0,0.0,38.86,0.0
11,5,24.43,38.86,29.44
12,0,0.0,38.86,0.0
13,0,0.0,38.86,0.0
14,0,0.0,38.86,0.0
15,0,0.0,38.86,0.0
16,0,0.0,38.86,0.0
17,10,34.14,38.86,24.24
18,1,4.86,38.86,9.99
19,3,28.29,38.71,25.08
20,0,0.0,38.71,0.0
21,2,14.57,38.71,32.3
22,0,0.0,38.71,0.0
23,0,0.0,38.71,0.0
24,0,0.0,38.71,0.0
25,0,0.0,38.71,0.0
26,1,1.57,38.71,227.14
27,0,0.0,38.71,0.0
28,1,29.43,38.71,80.46
29,0,0.0,38.71,0.0
30,1,5.86,38.71,40.47
31,0,0.0,38.71,0.0
32,0,0.0,38.71,0.0
33,0,0.0,38.71,0.0
34,0,0.0,38.71,0.0
35,1,27.14,38.71,31.14
36,0,0.0,38.71,0.0
37,0,0.0,38.71,0.0
38,1,2.14,38.71,13.97
39,0,0.0,38.71,0.0
40,0,0.0,38.71,0.0
41,0,0.0,38.57,0.0
42,0,0.0,38.57,0.0
43,0,0.0,38.57,0.0
44,0,0.0,38.57,0.0
45,1,24.43,38.57,14.96
46,12,34.43,38.57,29.54
47,0,0.0,38.57,0.0
48,0,0.0,38.57,0.0
49,1,1.57,38.57,14.37
50,0,0.0,38.57,0.0
51,0,0.0,38.57,0.0
52,0,0.0,38.57,0.0
53,0,0.0,38.57,0.0
54,0,0.0,38.57,0.0
55,0,0.0,38.57,0.0
56,2,33.14,38.57,28.03
57,1,4.29,38.57,15.36
58,0,0.0,38.43,0.0
59,1,38.43,38.43,6.49
60,0,0.0,38.43,0.0
61,4,29.43,38.43,53.4
62,0,0.0,38.43,0.0
63,1,16.14,38.43,43.13
64,0,0.0,38.43,0.0
65,0,0.0,38.43,0.0
66,0,0.0,38.43,0.0
67,2,21.14,38.43,133.48
68,0,0.0,38.43,0.0
69,0,0.0,38.43,0.0
70,3,29.29,38.43,42.63
71,0,0.0,38.43,0.0
72,0,0.0,38.43,0.0
73,1,5.86,38.43,69.23
74,0,0.0,38.43,0.0
75,1,5.14,38.43,20.77
76,0,0.0,38.43,0.0
77,0,0.0,38.43,0.0
78,0,0.0,38.29,0.0
79,3,16.86,38.29,20.22
80,0,0.0,38.29,0.0
81,0,0.0,38.29,0.0
82,1,7.43,38.29,42.09
83,0,0.0,38.29,0.0
84,0,0.0,38.29,0.0
85,0,0.0,38.29,0.0
86,7,26.43,38.29,27.63
87,0,0.0,38.29,0.0
88,10,35.43,38.29,13.66
89,0,0.0,38.29,0.0
90,0,0.0,38.29,0.0
91,1,33.29,38.29,14.99
92,6,37.43,38.29,50.87
93,0,0.0,38.29,0.0
94,0,0.0,38.29,0.0
95,0,0.0,38.29,0.0
96,0,0.0,38.29,0.0
97,0,0.0,38.29,0.0
98,2,31.86,38.29,33.42
99,4,37.57,38.29,20.68
100,1,23.86,38.29,26.22
101,5,36.14,38.14,17.47
102,0,0.0,38.14,0.0
103,0,0.0,38.14,0.0
104,0,0.0,38.14,0.0
105,1,24.14,38.14,92.8
106,1,6.14,38.14,52.3
107,0,0.0,38.14,0.0
108,0,0.0,38.14,0.0
109,1,0.29,38.14,39.09
110,0,0.0,38.14,0.0
111,1,0.29,38.14,12.97
112,0,0.0,38.14,0.0
113,0,0.0,38.14,0.0
114,1,24.14,38.14,24.99
115,0,0.0,38.14,0.0
116,1,5.29,38.14,28.31
117,0,0.0,38.14,0.0
118,0,0.0,38.14,0.0
119,0,0.0,38.14,0.0
120,0,0.0,38.14,0.0
121,1,3.0,38.14,13.77
