InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,spent_total
581433,22465,HANGING METAL STAR LANTERN,12,12/8/2011 15:54,0.79,14911.0,EIRE,9.48
581433,22464,HANGING METAL HEART LANTERN,12,12/8/2011 15:54,0.79,14911.0,EIRE,9.48
581433,85014B,RED RETROSPOT UMBRELLA,3,12/8/2011 15:54,5.95,14911.0,EIRE,17.85
581433,20679,EDWARDIAN PARASOL RED,3,12/8/2011 15:54,5.95,14911.0,EIRE,17.85
581433,21155,RED RETROSPOT PEG BAG,6,12/8/2011 15:54,2.55,14911.0,EIRE,15.299999999999999
581433,22960,JAM MAKING SET WITH JARS,6,12/8/2011 15:54,4.25,14911.0,EIRE,25.5
581433,21286,RETROSPOT CANDLE  LARGE,12,12/8/2011 15:54,0.59,14911.0,EIRE,7.08
581433,21285,RETROSPOT CANDLE  MEDIUM,12,12/8/2011 15:54,0.39,14911.0,EIRE,4.68
581433,21442,GREEN BIRDHOUSE DECORATION,24,12/8/2011 15:54,0.19,14911.0,EIRE,4.5600000000000005
581433,21462,"NURSERY A,B,C PAINTED LETTERS",8,12/8/2011 15:54,1.95,14911.0,EIRE,15.6
581433,22059,CERAMIC STRAWBERRY DESIGN MUG,24,12/8/2011 15:54,0.39,14911.0,EIRE,9.36
581433,22057,CERAMIC PLATE STRAWBERRY DESIGN,16,12/8/2011 15:54,0.39,14911.0,EIRE,6.24
581433,22072,RED RETROSPOT TEA CUP AND SAUCER ,12,12/8/2011 15:54,1.25,14911.0,EIRE,15.0
581433,22391,PAPERWEIGHT HOME SWEET HOME,24,12/8/2011 15:54,0.39,14911.0,EIRE,9.36
581433,22390,PAPERWEIGHT CHILDHOOD MEMORIES,12,12/8/2011 15:54,0.39,14911.0,EIRE,4.68
581433,22393,PAPERWEIGHT VINTAGE COLLAGE,24,12/8/2011 15:54,0.39,14911.0,EIRE,9.36
581433,22410,MONEY BOX HOUSEKEEPING DESIGN,12,12/8/2011 15:54,0.39,14911.0,EIRE,4.68
581433,22405,MONEY BOX POCKET MONEY DESIGN,12,12/8/2011 15:54,0.39,14911.0,EIRE,4.68
581433,22395,PAPERWEIGHT VINTAGE PAISLEY,12,12/8/2011 15:54,0.39,14911.0,EIRE,4.68
581433,22442,GROW YOUR OWN FLOWERS SET OF 3,12,12/8/2011 15:54,1.95,14911.0,EIRE,23.4
581433,22472,TV DINNER TRAY DOLLY GIRL,8,12/8/2011 15:54,1.95,14911.0,EIRE,15.6
581433,22473,TV DINNER TRAY VINTAGE PAISLEY,8,12/8/2011 15:54,1.95,14911.0,EIRE,15.6
581433,22509,SEWING BOX RETROSPOT DESIGN ,4,12/8/2011 15:54,3.95,14911.0,EIRE,15.8
581433,22647,CERAMIC LOVE HEART MONEY BANK,36,12/8/2011 15:54,0.39,14911.0,EIRE,14.040000000000001
581433,22723,SET OF 6 HERB TINS SKETCHBOOK,12,12/8/2011 15:54,1.25,14911.0,EIRE,15.0
581433,22721,SET OF 3 CAKE TINS SKETCHBOOK,12,12/8/2011 15:54,1.95,14911.0,EIRE,23.4
581433,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,12,12/8/2011 15:54,0.79,14911.0,EIRE,9.48
581433,22744,MAKE YOUR OWN MONSOON CARD KIT,12,12/8/2011 15:54,0.79,14911.0,EIRE,9.48
581433,22742,MAKE YOUR OWN PLAYTIME CARD KIT,12,12/8/2011 15:54,0.79,14911.0,EIRE,9.48
581433,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,24,12/8/2011 15:54,0.39,14911.0,EIRE,9.36
581433,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,24,12/8/2011 15:54,0.21,14911.0,EIRE,5.04
581433,23320,GIANT 50'S CHRISTMAS CRACKER,12,12/8/2011 15:54,1.25,14911.0,EIRE,15.0
581433,23358,HOT STUFF HOT WATER BOTTLE,18,12/8/2011 15:54,1.25,14911.0,EIRE,22.5
581433,23522,WALL ART DOG AND BALL ,12,12/8/2011 15:54,1.25,14911.0,EIRE,15.0
581433,23415,HOME SWEET HOME HOOK,12,12/8/2011 15:54,0.39,14911.0,EIRE,4.68
581433,72799E,IVORY PILLAR CANDLE SILVER FLOCK,12,12/8/2011 15:54,0.79,14911.0,EIRE,9.48
581433,72819,CUPID DESIGN SCENTED CANDLES,12,12/8/2011 15:54,1.25,14911.0,EIRE,15.0
581433,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,24,12/8/2011 15:54,1.25,14911.0,EIRE,30.0
581433,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,12,12/8/2011 15:54,1.25,14911.0,EIRE,15.0
581433,84707B,PINK JEWELLED MIRROR TRINKET TRAY,12,12/8/2011 15:54,1.95,14911.0,EIRE,23.4
581433,84817,DANISH ROSE DECORATIVE PLATE,48,12/8/2011 15:54,0.39,14911.0,EIRE,18.72
581433,84820,DANISH ROSE TRINKET TRAYS,16,12/8/2011 15:54,0.79,14911.0,EIRE,12.64
581433,84819,DANISH ROSE ROUND SEWING BOX,16,12/8/2011 15:54,0.79,14911.0,EIRE,12.64
581433,84821,DANISH ROSE DELUXE COASTER,24,12/8/2011 15:54,0.19,14911.0,EIRE,4.5600000000000005
581433,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,12/8/2011 15:54,8.5,14911.0,EIRE,17.0
581433,22914,BLUE COAT RACK PARIS FASHION,3,12/8/2011 15:54,4.95,14911.0,EIRE,14.850000000000001
581433,20718,RED RETROSPOT SHOPPER BAG,10,12/8/2011 15:54,1.25,14911.0,EIRE,12.5
581433,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,12/8/2011 15:54,0.79,14911.0,EIRE,14.22
581433,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",24,12/8/2011 15:54,1.25,14911.0,EIRE,30.0
581433,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,4,12/8/2011 15:54,8.95,14911.0,EIRE,35.8
581433,84509B,SET OF 4 FAIRY CAKE PLACEMATS,4,12/8/2011 15:54,3.75,14911.0,EIRE,15.0
581433,22282,12 EGG HOUSE PAINTED WOOD,2,12/8/2011 15:54,12.75,14911.0,EIRE,25.5
581433,22283,6 EGG HOUSE PAINTED WOOD,2,12/8/2011 15:54,7.95,14911.0,EIRE,15.9
581433,23110,PARISIENNE KEY CABINET ,2,12/8/2011 15:54,5.75,14911.0,EIRE,11.5
