id,frequency,monetary,recency,dt_customer
5524,32,1617,58,2012-09-04
2174,11,27,38,2014-03-08
4141,25,776,26,2013-08-21
6182,14,53,26,2014-02-10
5324,24,422,94,2014-01-19
7446,28,716,16,2013-09-09
965,27,590,34,2012-11-13
6177,18,169,32,2013-05-08
4855,15,46,19,2013-06-06
5899,22,49,68,2014-03-13
1994,11,19,11,2013-11-15
387,14,61,59,2012-11-13
2125,18,1102,82,2013-11-15
8180,21,310,53,2013-11-15
2569,13,46,38,2012-10-10
2114,29,1315,23,2012-11-24
9736,17,96,51,2012-12-24
4939,20,317,20,2012-08-31
6565,31,1782,91,2013-03-28
2278,14,133,86,2012-11-03
9360,20,316,41,2012-08-08
5376,44,1730,42,2013-01-06
1993,25,972,63,2012-12-23
4047,24,544,0,2014-01-11
1409,28,444,69,2013-03-18
7892,15,75,89,2013-01-02
2404,21,257,4,2013-05-27
5255,28,637,19,2013-02-20
9422,12,131,26,2013-05-31
1966,28,1672,96,2013-11-22
6864,13,30,34,2014-05-22
3033,14,318,56,2013-05-11
5710,14,120,31,2012-10-10
7373,23,302,8,2012-10-29
8755,25,1196,4,2013-02-20
10738,13,65,55,2013-08-29
4339,30,913,37,2013-12-31
10755,16,81,76,2013-09-02
8595,12,67,99,2014-02-11
2968,30,902,53,2013-02-01
8601,25,1395,3,2013-04-29
503,15,53,88,2013-03-12
8430,9,22,4,2012-12-24
7281,11,186,80,2013-11-05
2139,13,31,19,2013-10-02
1371,17,984,72,2014-06-28
9909,19,122,24,2012-11-09
7286,15,55,92,2013-05-24
7244,16,124,96,2014-01-01
6566,36,1319,39,2012-11-08
8614,19,507,29,2014-05-12
4114,32,1693,2,2012-08-11
1331,14,72,54,2013-01-02
2225,22,1617,54,2014-06-07
9381,26,606,57,2013-06-12
6260,28,1957,55,2012-11-19
10383,24,1093,30,2013-04-02
7437,9,29,31,2014-04-28
8557,13,46,57,2013-06-17
8375,26,518,63,2014-03-03
6853,22,1438,12,2013-07-04
3076,25,612,18,2012-09-07
1012,31,884,26,2013-02-18
6518,24,606,8,2013-06-11
4137,20,1076,29,2013-12-06
8082,12,34,75,2013-05-21
1386,11,11,0,2014-05-11
9369,37,1274,19,2014-03-19
4477,22,653,4,2013-09-27
1357,24,1562,90,2013-04-08
